step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
226,1.75922,0.61991,,
227,1.48989,0.63951,,
228,1.42588,0.68262,,
229,1.59743,0.66483,,
230,1.80232,0.60694,,
231,1.89491,0.58079,,
232,1.65343,0.61435,,
233,1.82144,0.62156,,
234,1.61468,0.67096,,
235,1.8588,0.62295,,
236,1.82294,0.58204,,
237,1.66413,0.68826,,
238,1.39314,0.67577,,
239,1.44909,0.67706,,
240,1.53684,0.63441,,
241,1.78503,0.61455,,
242,1.79762,0.64622,,
243,1.60331,0.66603,,
244,1.7355,0.61488,,
245,1.61404,0.6403,,
246,1.45216,0.68354,,
247,1.78315,0.60305,,
248,1.78078,0.64544,,
249,1.61785,0.69808,,
250,1.74076,0.65297,,
251,1.71708,0.62667,,
252,1.69301,0.63636,,
253,1.95402,0.62606,,
254,1.88633,0.63364,,
255,1.50843,0.66589,,
256,1.75452,0.63808,,
257,1.629,0.65759,,
258,1.781,0.63557,,
259,1.77459,0.62894,,
260,1.53681,0.66422,,
261,1.68639,0.64579,,
262,1.72282,0.63559,,
263,1.59863,0.65688,,
264,1.67967,0.64824,,
265,1.89955,0.56228,,
266,1.81186,0.61043,,
267,1.58268,0.64747,,
268,2.01918,0.59216,,
269,1.84185,0.59368,,
270,1.89538,0.6102,,
271,1.76813,0.62113,,
272,1.92222,0.58794,,
273,1.79659,0.62004,,
274,1.89402,0.60859,,
275,1.63344,0.6531,,
276,1.99891,0.60819,,
277,1.57898,0.69623,,
278,1.78917,0.64108,,
279,1.82657,0.59594,,
280,1.54348,0.68705,,
281,2.02487,0.62174,,
282,1.65284,0.6427,,
283,2.03163,0.61191,,
284,1.76001,0.6711,,
285,1.60463,0.69065,,
286,1.82189,0.63636,,
287,1.59846,0.66602,,
288,1.64428,0.63834,,
289,1.77355,0.61091,,
290,1.50725,0.65652,,
291,1.91808,0.59775,,
292,1.56614,0.68447,,
293,1.35967,0.68761,,
294,1.68398,0.64009,,
295,1.8781,0.57905,,
296,1.73198,0.61589,,
297,1.67987,0.64659,,
298,1.6735,0.63251,,
299,1.75306,0.60491,,
300,1.87565,0.59885,,
301,1.96333,0.591,1.55133,0.53132
302,1.74728,0.63148,,
303,1.60944,0.63636,,
304,1.44949,0.68238,,
305,1.44208,0.662,,
306,1.66592,0.64286,,
307,1.53647,0.67294,,
308,1.7259,0.6396,,
309,1.68307,0.625,,
310,1.65066,0.65468,,
311,1.57983,0.65596,,
312,1.49684,0.64835,,
313,1.79565,0.59725,,
314,1.59785,0.63068,,
315,1.50091,0.69623,,
316,1.69614,0.62558,,
317,1.57826,0.68097,,
318,2.06532,0.56846,,
319,1.6804,0.63121,,
320,1.71574,0.64096,,
321,1.71866,0.64878,,
322,1.8519,0.61961,,
323,1.49204,0.65753,,
324,1.58782,0.66183,,
325,1.76049,0.61538,,
326,1.43561,0.70045,,
327,1.79047,0.63333,,
328,1.64685,0.65924,,
329,1.85636,0.61751,,
330,1.74618,0.65542,,
331,1.739,0.63471,,
332,1.83302,0.63671,,
333,1.53624,0.63981,,
334,1.45429,0.67829,,
335,1.78125,0.62582,,
336,1.64303,0.65564,,
337,1.48334,0.67523,,
338,1.95033,0.56262,,
339,1.59099,0.63308,,
340,1.77572,0.62235,,
341,1.66173,0.62061,,
342,1.77415,0.65263,,
343,1.83749,0.62811,,
344,1.74354,0.65,,
345,1.99094,0.612,,
346,1.90276,0.59916,,
347,1.65893,0.64151,,
348,1.64147,0.66729,,
349,1.62039,0.66082,,
350,1.46982,0.67089,,
351,2.00672,0.62195,,
352,1.88303,0.59694,,
353,1.79477,0.62447,,
354,1.97965,0.6148,,
355,1.79199,0.62017,,
356,1.63659,0.65929,,
357,1.64172,0.63048,,
358,1.5504,0.69278,,
359,1.67474,0.64066,,
360,1.78849,0.63288,,
361,2.01312,0.63039,,
362,1.43717,0.69792,,
363,1.67532,0.61848,,
364,1.81501,0.63636,,
365,1.68943,0.62795,,
366,1.77514,0.60662,,
367,2.02512,0.6087,,
368,1.93798,0.60118,,
369,1.61897,0.67262,,
370,1.67293,0.63694,,
371,1.47214,0.69727,,
372,1.66746,0.64384,,
373,1.29277,0.68736,,
374,1.2871,0.69517,,
375,1.59095,0.62105,,
376,1.40849,0.6866,,
377,1.657,0.66208,,
378,1.77239,0.64509,,
379,1.55989,0.64362,,
380,1.9191,0.59924,,
381,1.74431,0.62868,,
382,1.56393,0.64107,,
383,1.44623,0.66454,,
384,1.78025,0.60841,,
385,1.4807,0.65185,,
386,1.55379,0.67062,,
387,1.78262,0.62545,,
388,1.5913,0.63993,,
389,1.473,0.67117,,
390,1.32403,0.72274,,
391,1.55044,0.67115,,
392,1.62254,0.65051,,
393,1.59618,0.64592,,
394,1.42202,0.6495,,
395,1.49251,0.68,,
396,1.65885,0.57909,,
397,1.45029,0.6688,,
398,1.64269,0.64811,,
399,1.37509,0.69136,,
400,1.58243,0.64338,,
401,1.78852,0.62235,1.90865,0.45652
402,1.60837,0.63725,,
403,1.41572,0.69623,,
404,1.53259,0.69595,,
405,1.76994,0.58333,,
406,1.76553,0.63265,,
407,1.44252,0.68306,,
408,1.62008,0.63139,,
409,1.33972,0.73964,,
410,1.53673,0.66667,,
411,1.29862,0.7284,,
412,1.61173,0.65,,
413,1.59174,0.66337,,
414,1.49292,0.66282,,
415,1.49874,0.64557,,
